,latitude,longitude,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,municipality,neighborhood,newDevelopment,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url,parkingSpace
46,44.407177,8.938467,"Via Bartolomeo Bosco, 31",2,it,{'typology': 'flat'},318,Centro Est,0,21711295-51,0,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,35,sale,700000,2333,17498084,flat,Genova,10,1,300,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Bartolomeo Bosco, 31'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/97/db/49/216953277.jpg,https://www.idealista.it/immobile/17498084/,0
47,44.407185,8.938178,quartiere Carignano,1,it,{'typology': 'flat'},318,Centro Est,0,76RA49834,0,0,0,0,0,0,Genova,Carignano,0,12,sale,340000,2267,12867458,flat,Genova,7,0,150,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/5b/29/2f/216205765.jpg,https://www.idealista.it/immobile/12867458/,0
48,44.402437,8.941299,Via Macaggi s.c.n,2,it,{'typology': 'flat'},321,Centro Est,0,GE923,3,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,16,sale,350000,1750,14373497,flat,Genova,7,1,200,renew,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Macaggi s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/e2/37/69/149659273.jpg,https://www.idealista.it/immobile/14373497/,0
49,44.402495,8.941374,Via Cesarea,3,it,"{'subTypology': 'penthouse', 'typology': 'flat'}",321,Centro Est,0,2129 (2471576),6,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,21,sale,880000,3826,16744517,penthouse,Genova,6,0,230,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Attico in Via Cesarea'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/e3/80/ec/201826169.jpg,https://www.idealista.it/immobile/16744517/,0
50,44.407078,8.936993,Piazza Dante,2,it,{'typology': 'flat'},321,Centro Est,0,2538599 (2538599),17,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,12,sale,398000,2653,17190860,flat,Genova,5,0,150,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Piazza Dante'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/e5/53/aa/210670552.jpg,https://www.idealista.it/immobile/17190860/,0
51,44.401445,8.938814,"Via Ilva, 5",2,it,{'typology': 'flat'},323,Centro Est,0,21611087-319 (74874006),5,0,0,1,1,0,Genova,Carignano,0,21,sale,690000,4929,17458474,flat,Genova,4,1,140,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Ilva, 5'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/7c/80/18/216118604.jpg,https://www.idealista.it/immobile/17458474/,1
52,44.401445,8.938814,"Via Ilva, 5",2,it,{'typology': 'flat'},323,Centro Est,0,21611087-318 (74873294),0,0,0,1,0,0,Genova,Carignano,0,21,sale,220000,3385,17458472,flat,Genova,2,1,65,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Ilva, 5'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/57/35/1a/216118572.jpg,https://www.idealista.it/immobile/17458472/,1
53,44.404193,8.934163,quartiere San Vincenzo-Portoria,2,it,{'typology': 'flat'},323,Centro Est,0,-59820938,0,0,0,0,0,0,Genova,San Vincenzo-Portoria,0,20,sale,450000,3750,13366405,flat,Genova,3,0,120,,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/83/01/48/165560657.jpg,https://www.idealista.it/immobile/13366405/,0
54,44.404481,8.934118,Via del colle s.c.n,1,it,{'typology': 'flat'},327,Centro Est,0,,2,0,0,0,0,0,Genova,Prè-Molo-Maddalena,0,8,sale,179000,2557,17833012,flat,Genova,4,1,70,good,"{'subtitle': 'Prè-Molo-Maddalena, Genova', 'title': 'Appartamento in Via del colle s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/31/f9/ef/223863284.jpg,https://www.idealista.it/immobile/17833012/,0
55,44.403076,8.941963,Via Ippolito D'Aste s.c.n,2,it,{'typology': 'flat'},327,Centro Est,0,-2229986,4,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,22,sale,520000,3059,14320934,flat,Genova,5,1,170,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': ""Appartamento in Via Ippolito D'Aste s.c.n""}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/65/4d/ae/164598609.jpg,https://www.idealista.it/immobile/14320934/,0
56,44.40166,8.936414,"Via Nino Bixio, 4 /b",1,it,{'typology': 'flat'},329,Centro Est,0,12237 (1257169),0,0,0,1,1,0,Genova,Carignano,0,12,sale,245000,2356,15240907,flat,Genova,4,1,104,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Nino Bixio, 4 /b'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/9e/7c/83/212318125.jpg,https://www.idealista.it/immobile/15240907/,0
