key
capacity:women 
railway:signal:main:function 
gauge 1524
barrier gate
capacity:disabled 
note:name 
plot_number 
age semi-mature
dibavod:id 
hgv:lanes 
Shape_Leng 
fuel:diesel 
name:de 
heritage 
gauge 1000
circuits 2
Srednica 
amenity townhall
building service
shop hairdresser
TIPO 
railway:signal:minor:form 
landuse farm
abandoned:railway 
minspeed 40 mph
maintenance 
network lcn
building residential
highway motorway
seamark:light:reference 
payment:notes 
VRS:ortsteil 
natural spring
segregated 
accuracy 10
board_type nature
building:fi:id 
TMC:cid_58:tabcd_1:PrevLocationCode 
border_type county
design guyed_h-frame
census:population 
bak:fac_type2 
population:date 
service crossover
OBJECTID 
designated_direction 
fire_hydrant:couplings 
colour:text 
type multipolygon
VRS:ref 
building:colour 
garden:type 
communication 
natural mud
recycling:plastic 
CLC:id 
metcouncil:site_hfn 
shelter yes
KSJ2:BDC 
abutters residential
building roof
KSJ2:ODC 
design three-level
maaamet:orig_tunnus 
type boundary
building_type 
drinking_water no
loc_ref 
massgis:OWNER_ABRV 
building:use:residential 
crossing:island 
landuse garages
route foot
massgis:EOEAINVOLV 
voltage 750
destination:lanes 
office ngo
side 
embankment yes
waterway canal
amenity fuel
frequency 16.67
access:conditional 
capacity:teachers 
access:roof 
int_ref 
KSJ2:filename 
chile:surface 
overtaking 
seats 
lamp_type high_pressure_sodium
access public
highway tertiary_link
surveillance 
istat_id 
mapper mspray9
amenity car_rental
name:sr 
crop corn
leaf_type 
entrance 
highway service
goods yes
surveillance:zone 
border_type 
species:en 
level 0;1
level 1
sport swimming
metcouncil:routes 
LandPro08:LC_NAME 
religion shinto
rednap:altitudortometrica 
brand:wikipedia 
exit 
denomination lutheran
bak:fac_type1 
contact:facebook 
public_transport 
local_ref 
code 
collection_times 
building:floor 
railway:radio 
is_in:town 
complete 
network:type 
passenger_lines 2
step_count 
GNS:dsg_name 
highway turning_loop
amenity mobile_money_agent
service drive-through
constituency 
construction_date 
GNS:dsg_code 
disused 
capital 8
name:pl 
nvdb:id 
bench no
crop grass
email 
stars 4
lcn 
KSJ2:curve_type 
name:he 
capacity 8
old_postal_code 
contact:twitter 
barrier bollard
contact:website 
amenity cafe
building barn
name:hsb 
leisure water_park
rednap:tipo 
logainm:url 
gnis:Class 
cosmha 
building retail
gtfs_location_type 
building:use 
circuits 1
network rcn
sport beachvolleyball
couplings:diameters 
leaf_cycle mixed
building:age 
name:be 
building semi
gnis:state_id 
created_by 
